mail_id,subject,category,action
194e90265a3c53fe,[지속가능원] 지속가능원이 추천하는 2025-1 지속가능 교과목 25선!,other,read only
194e343333e5ff27,ICT명품인재양성사업단 뉴스레터 겨울호를 보내 드립니다.,academic,read only
194e34039181a3c0,2024년 업적평가를 위한 연구실적 업데이트 요청의 건 (~2월 7일),academic,action needed
194e334940f6bad0,[BK] 2025년 2월 7일(금) BK21 대학원혁신사업 영어논문작성법 워크숍 안내 (신청자 명단 제출 ~금일 까지),academic,action needed
194e325d62686180,Your OpenAI API account has been funded,other,read only
194e3256f9b4e6b8,Your OpenAI API account has been funded,other,read only
194e324bf6649106,Your OpenAI API account has been funded,other,read only
194e31fb01860163,일어나 스터디해야지에서 GC K 님 외 1명이 업데이트했습니다,other,read only
194e31dc5c94b84b,일어나 스터디해야지에서 혜준 안이 업데이트했습니다,other,read only
194e31d468c2ecad,일어나 스터디해야지에서 유채은 님 외 3명이 업데이트했습니다,other,read only
194e31b12e099509,보안 알림,other,read only
194e31a8c1f2f30f,보안 알림,other,read only
194e3181a1674d8e,보안 알림,other,read only
194e315a0ba21c8b,[에코업] 에코업 리더십 개발 캠프 참가자 모집(~2/7선착순마감),other,read only
194e312790654a62,[정보학과BK] 2025년도 제1학기 지원대학원생 선발결과 안내드립니다.,administration,read only
194e310b383c726b,[기타]2025 지역 창업 솔버톤 대회 데모데이 초청,other,read only
194e30c2be7b0012,KUA자동차 과제 제안서 초안 검토 및 미팅 일정 협의,academic,action needed
194e309f9ec720ee,KUA자동차 과제 제안서 관련 요구사항,academic,action needed
194e30413ceac5cf,KUA자동차 과제 제안서 작성 관련,academic,action needed
194e2fc99430bd98,[네부캠대 정보학과] 학술제 오픈랩 관련 공지,academic,action needed
194e2faf9058a111,[네부캠대 정보학과] 학술제 및 간담회 참여 여부,academic,action needed
194e2f8a6303ffb0,[네부캠대 정보학과] 오픈랩 행사 관련 전체 공지,academic,read only
194e2f525110b087,[네부캠대 정보학과] 학술제 오픈랩 사전질문 관련 추가 공지,academic,read only
194e2f16e3fde487,RE: RE: [응용파동광학] 시험지 확인 문의드립니다,administration,read only
194e2f0965da81ab,[응용파동광학] 시험지 확인 문의드립니다,administration,action needed
194e2ef286fe8c4d,RE: 깃허브 및 개인 홈페이지 관련 문의 메일,other,read only
194e2eda0fa4a5ce,Re: [PH621] 응용파동광학 기말고사 채점 완료,administration,action needed
194e2ec52174eb7e,Re: [PH621] 응용파동광학 기말고사 채점 관련,administration,action needed
194e2ead837b50a2,[PH621] 응용파동광학 기말고사 시험지 확인,administration,action needed
194e2e88da552d43,Re: [PH621] 응용파동광학 기말고사 시험 강의실 관련,administration,action needed
194e2e56a9cb3c7c,RE: 창의학습관 강의실 예약 관련 문의 - 정보학과 박부덕,administration,read only
194dfd94f9743bd1,GitHub Copilot: What’s in your free plan 🤖,other,read only
194dfd33e8b5fdc0,퀸카피...스캔파일 입니다.,other,action needed
194dfd0cc6227538,인건비 지급 안내 메일,administration,read only
194dfcdcd23e0a07,[보건진료소]2025학년도 심폐소생술 교육 안내,administration,action needed
194dfca56b171603,"[인공지능학부] 제 2회, 3회 정보학과 특강 개최 참가신청(1/28까지, 선착순)",academic,action needed
194dfc2d81335274,[원격교육센터] K-CLASS 활용 구성원 설문조사 (Survey of members using K-CLASS),administration,read only
194dfbd0fc5109ce,[학업코칭] 남은 방학 1:1 학업코칭으로 알차게 마무리!,administration,read only
194dfbb1d90e4b8a,[네부캠대학교-정보학과] 학과 소식지 2025년 2월호 발송,academic,read only
194dfb50dd4b0e4e,"리마인드, [정보대학 미래교육연구원] 2025년 상반기 미래교육포럼 안내",academic,read only
194dfb0df0832f72,[관리처] 자연계 정운오IT교양관 준공에 따른 도로 및 보도 공사 계획 사전 안내,administration,read only
194dfaec72bb288b,네부캠대학교 정보대학 교우님께,other,read only
194dfa9f3bdf6252,화이트데이엔 듀오로 마음을 표현하세요!,other,read only
194dfa8c096434dd,올해는 완주 도전! '쉬엄쉬엄 한강 3종' 8일부터 사전 신청,other,read only
194dfa30055422e1,AWS Free Tier limit alert,other,read only
194dfa18daef2cc6,[weekly] report for 2025-01-27 until 2025-02-02,other,read only
194df9af2a198324,[명품인재×업스테이지] “LLM Innovators challenge” 에 도전해보세요!! (~3/13),administration,action needed
194df976f350f38a,AI Tech Day 2025 - 02/13(목) 정오 사전등록 마감,academic,action needed
