id,body,subject,category,action
194e90265a3c53fe,"*지속가능원이 추천하는 2025-1 지속가능 교과목 25선!*

ESG? 지속가능성? SDGs? 생물다양성?
남들이 이야기할 때 긴가민가 알아듣지 못해 난감했던 경험이 있으셨던 분!
혹은 강의를 통해 지속가능성을 더욱 깊이 알아보고 싶으셨던 분!

여러분들을 위해 지속가능원이 <2025학년도 1학기 지속가능 교과목>을 준비했습니다.
여러분들의 시간표 사이사이 지속가능 교과목 하나 쏙 넣어보시면 어떨까요? :)

다음 지속가능원 링크를 통해 더 자세히 알아볼 수 있답니다 ▶ *게시물 링크 바로가기*

",[지속가능원] 지속가능원이 추천하는 2025-1 지속가능 교과목 25선!,other,read only
194e343333e5ff27,"












",ICT명품인재양성사업단 뉴스레터 겨울호를 보내 드립니다.,academic,read only
194e34039181a3c0,"안녕하세요,


2024년 업적평가를 위해 실적 업데이트 요청을 드립니다. 이전에 입력한 실적 중에도 누락된 실적이 있는지 확인하시고, 2024년
실적의 경우 추가 업데이트 해주시면 됩니다.

논문의 경우

https://koreauniv.pure.elsevier.com/en/organisations/department-of-chemical-and-biological-engineering
 혹은



https://www.scopus.com/search/form.uri?zone=TopNavBar&origin=AuthorProfile&display=basic#author
에서
저자로 검색하시면  누락된 논문이 확인가능할 것입니다.


첨부해드리는 파일을 활용해주시고, 이전 실적은 임의로 삭제하지 말아주십시오.

환산편수의 경우, 수식이 걸려 있기 때문에 삭제 하지 말아주십시오.

증빙은 출력하셔서 제출 부탁드립니다.


- 실적기간: 2024.1.~2024.12.

- 제출일: 2월 7일 (금) * 교수님께 누락된 실적이 있는지 꼭 확인하고 제출하십시오!

- 실적작성 방법:

  1. 논문=> 위의 실적 기간내오프라인 출판 완료된 논문작성 (증빙 제출 필요 없음)

        * 대학원생 논문의 경우: 첨부한 파일에 이름이 있는 학생이 저자로, 네부캠대학교 정보학과 저자로 들어간 학생의 경우
작성함. BK미참여 연구실의 경우 2020년 2학기 이후 재학생 논문이 해당됨.

                                          BK 연구교수가 있는 경우 신진연구인력 시트에 BK연구 교수
실적도 작성해야 함. 임용된 이후 실적 모두 포함. 단, 소속이 네부캠대 정보학과이어야 함)

                                          환산편수까지 작성, 공동연구 구분 까지 작성 (피인용,
IF. 상위 %, IF보정값, ES보정값은 연구단에서 일괄 입력 예정임.)

                                           IF, ES, 분야별 상위%는 JCR 2023값을 파일로
전달하오니,  참고자료로 활용하십시오. 값은 넣지 않으셔도 됩니다..

   2. 학회=>  위의 실적 기간내 수상실적만 작성, 2024년 학회 참석시 참여대학원생 이어야 함.

                   2024년 8월까지 학회-2024년 1학기 참여대학원생 명단 확인, 2025년 2월까지 학회-
2024년 2학기 참여대학원생 명단 확인

   3. 특허=>  위의 실적 기간내 국내, 해외 모두 등록 실적만 작성

   4. 연구비=> 위의 실적 기간내 입금된 실적만 입력 , 실시간계좌이체 과제의 경우 해당사이트 실적을 작성할 것 (RCMS 등):
방법을 모르면 전임 방장 혹은 저에게 문의해주십시오.



- 증빙:  학술대회 (학회초록첫표지(학회제목, 일정, 장소 확인가능한면), 본인발표한면, 상장)

           연구비 (본교관리 연구비- 연구계약자료, 타교관리연구비-협약서, 공동연구비의 경우 (본교,타교 모두)- 지분확인서)

           특허 (특허등록증)

           기술이전 (계약서, 입금증, 발명보상금지급동의서)

           국제화 (적은 내용을 증빙할 수 있는 증빙. 해외공동논문, MOU증빙, 공동과제계약서, 단순교류인경우 E-MAIL,
장기연수의 경우 초청장 등...)

           교육역량실적 (저서 표지, 상장, 온라인 강의의 경우 인터넷 주소 등)

           산업사회기여실적(세미나, 자문 일정확인가능한 메일 & PPT파일 앞면, 산업체이나 교육실적의 경우 내용이 확인되는
증빙)

 - 실적입력방법 확인하고 작성할 것.
",2024년 업적평가를 위한 연구실적 업데이트 요청의 건 (~2월 7일),academic,action needed
194e334940f6bad0,"안녕하세요
친환경 디지털 정보과학 교육연구단 함이열입니다.

BK21 대학원혁신사업 2025년 1학기 대학원 맞춤형 연구역량 프로그램 - *영어논문작성법* 워크숍을 안내드립니다.

해당 워크숍은 정보학과 학생만 대상으로 진행되니 많은 참여 부탁드립니다.
*(BK21사업 참여대학원생들은 참석 여부 확인 예정, 신입생 필수 참석, 연구실 별 4명 이상 필수 참석)*
연구실 내 참석 신청자 명단을 취합하여 *2월 5일(수)까지* 회신 부탁드립니다.

*[정보학과 공학계열 영어논문 작성법]*

  - 일   시: 2025. 2. 7.(금) 14시~16시
  - 대   상: 정보학과 대학원생 40명
  - 장   소: 111동 111호
  - 강연자: 나천재 박사님(발표 대박스 대표)
  - 강의개요:
1. 논문작성 과정 및 순서 (고수/초보 저자 비교)
2. 논문 섹션별 유의 사항 및 영어 관련 팁
3. 중요한 정보를 효과적으로 부각시키는 방법
4. 자주 보이는 영어 글쓰기 스타일 관련 오류
5. 다양한 AI도구 활용 방법 및 유의할 점

감사합니다.

*함이열* Ham Eyeol
친환경 디지털 정보과학 교육연구단
",[BK] 2025년 2월 7일(금) BK21 대학원혁신사업 영어논문작성법 워크숍 안내 (신청자 명단 제출 ~금일 까지),academic,action needed
194e325d62686180,"Hi there,

We charged $5.20 to your credit card ending in 2043 to fund your OpenAI API
credit balance.

You may review your billing history

at
any time.

You received this email because you have a paid account with OpenAI
Organization: Personal (org-JMJcjhcxu4XbkPBvkQYeUO6q)
",Your OpenAI API account has been funded,other,read only
194e3256f9b4e6b8,"Hi there,

We charged $5.51 to your credit card ending in 2043 to fund your OpenAI API
credit balance.

You may review your billing history

at
any time.

You received this email because you have a paid account with OpenAI
Organization: Personal (org-JMJcjhcxu4XbkPBvkQYeUO6q)
",Your OpenAI API account has been funded,other,read only
194e324bf6649106,"Hi there,

We charged $5.34 to your credit card ending in 2043 to fund your OpenAI API
credit balance.

You may review your billing history

at
any time.

You received this email because you have a paid account with OpenAI
Organization: Personal (org-JMJcjhcxu4XbkPBvkQYeUO6q)
",Your OpenAI API account has been funded,other,read only
194e31fb01860163,"[image: icon]
일어나 스터디해야지
일어나 스터디해야지에 새 업데이트
내 워크스페이스에서 6페이지의 변경 사항을 검토합니다.
[image: icon] 강감찬 정리


GC K님이 이 페이지 페이지를 편집했습니다.


Abstract

LLaMa-1은 7B ~ 65B이며 공개된 데이터셋으로만 학습했다.

13B에서 GPT-3 175B 제쳤다.

65B는 다른 SOTA 모델과 비빌 수 있다.

모델 공개했다.

1. Introduction

2. Approach

2.1 Pre-training Data

English CommonCrawl [67%]

C4 [15%]

Github [4.5%]

Wikipedia [4.5%]

Gutenberg and Book3 [4.5%]

ArXiv [2.5%]

Stack Exchange [2%]

Tokenizer

2.2 Architecture

Pre-normalization [GPT3]

SwiGLU activation function [PaLM]

Rotary Embedding [GPTNeo]

2.3 Optimizer

2.4 Efficient implementation

3. Main results

3.1 Common Sense Reasoning

3.2 Closed-book Question Answering

3.3 Reading Comprehension

3.4 Mathematical reasoning

3.5 Code generation

3.6 Massive Multitask Language Understanding

3.7 Evolution of performance during training

4. Instruction Finetuning

5. Bias, Toxicity and Misinformation

5.1 RealToxicityPrompts

5.2 CrowS-Pairs

5.3 WinoGender

5.4 TruthfulQA

6. Carbon footprint

7. Related work

Language models

Architecture

Scailing

8. Conclusion

LLM에서 어느 정도 크기가 되면 few-shot 속성을 가진다.

모델 크기보다는 데이터가 많은 게 좋음 (Hoffmann et al. 2022)

Objective 성능에 도달하기 좋은 모델은 추론이 빠른 모델이다.

[image: icon] Language Models are Few-Shot Learner


GC K님이 이 페이지 페이지를 편집했습니다.


Venue
OpenAI
Property
Transformer
Transformer
decoder

C
유채은님이 이 페이지 페이지를 편집했습니다.


첨부 파일
https://prod-files-secure.s3.us-west-2.amazonaws.com/f9704662-acf5-46ed-a1ca-9ab0f17e8167/e5e79006-72b2-4df7-9c0c-3ac7c82e263d/Language_Models_are_Few-Shot_Learners.pdf
Property
Transformer

[image: icon] Exploring the Limits of Transfer Learning with a Unified
Text-to-Text Transformer


GC K님이 이 페이지 페이지를 편집했습니다.


Property
Transformer
Transformer
encoder
decoder

[image: icon] Language Models are Unsupervised Multitask Learners


GC K님이 이 페이지 페이지를 편집했습니다.


Property
Transformer
Transformer
decoder

[image: icon] Improving Language Understanding by Generative Pre-Training


GC K님이 이 페이지 페이지를 편집했습니다.


Property
Transformer
Transformer
decoder

[image: icon] BERT: Pre-training of Deep Bidirectional Transformers for
Language Understanding


GC K님이 이 페이지 페이지를 편집했습니다.


Property
Transformer
Transformer
encoder

Notion
문서, 프로젝트, 위키를 위한
커넥티드 워크스페이스 Notion.so

이메일 설정 업데이트

",일어나 스터디해야지에서 GC K 님 외 1명이 업데이트했습니다,other,read only
194e31dc5c94b84b,"[image: icon]
일어나 스터디해야지
일어나 스터디해야지에 새 업데이트
내 워크스페이스에서 1페이지의 변경 사항을 검토합니다.
[image: icon] 안혜준 정리


혜준 안님이 이 페이지 페이지를 편집했습니다.


이미지
image.png
비어 있음

혜준 안님이 이 페이지 페이지를 편집했습니다.



   - repetitive text, world modeling failure, unnatural topic switching 같은
   건 존재하긴함


앞서 말했듯이 제로샷 설정으로 사전학습 모델 그대로 써도 성능이 좋다!


   - 언어 모델링 관련된 task들에서는 SOTA 달성



   - 하지만 prompting으로 잘만하면 어느정도 성능이 나온다!(놀라워)



   - Question Answering, Reading Comprehension, summarization, translation
   등에는 zero shot 설정으론 SOTA는 힘들었


혜준 안님이 이 페이지 페이지를 편집했습니다.


GPT(2018.06) → BERT(2018.10) → GPT2(2019.02) 4개월 단위로 자신들의 모델이 SOTA를 달성하였다며
논문이 발표되었다.


   - task specific training 없이 SOTA 달성



   - 40GB 인터넷 text에서 훈련됨



   - 이번엔 훈련된 모델을 공개하지 않겠음(호들갑)



   - 대신 연구 목적으로 124M 파라미터의 작은 모델 공개 해드림



   - 근데 결국 전부 공개함



   - 1.5B 파라미터의 GPT-2 XL



   - 2019년 8월: 355M 출시



   - 2019년 11월: 1.5B 최종 GPT-2-XL 출시



   - 파라미터 비교



   - BERT: 340M



   - GPT-1: 117M



   - GPT-2: 1.5B



   - GPT-1에 비해 10배 이상의 파라미터 + 10배이상의 데이터로 학습함



   - 별도 도메인별 학습 세트 안써도 그냥 뛰어남



   - 다양한 NLP 작업에서 별도 작업별 trainset 쓰지 않아도 알아서 학습하기 시작



   - 물론 SOTA는 안되지만 비지도 학습만으로도 성능이 나온다는 걸 시사


입력 → 합성 텍스트 샘플 생성


   - 인간 품질에 유사하게 생성되며, 한 페이지 이상의 텍스트에 걸쳐 일관성을 보여준다



   - repettive text, world modeling failure, unnatural topic switching 같은 건
   존재하긴함



   - 이건 현재(2024년)의 모델들에도 고질적으로 왕왕 일어나는 문제!


Notion
문서, 프로젝트, 위키를 위한
커넥티드 워크스페이스 Notion.so

이메일 설정 업데이트

",일어나 스터디해야지에서 혜준 안이 업데이트했습니다,other,read only
194e31d468c2ecad,"[image: icon]
일어나 스터디해야지
일어나 스터디해야지에 새 업데이트
내 워크스페이스에서 4페이지의 변경 사항을 검토합니다.
[image: icon] 유채은 정리


C
유채은님이 이 페이지 페이지를 편집했습니다.


WebText의 training set과 특정 evaluation dataset간의 data overlap은 evaluation
result에 작지만 일관된 이점을 가져다줌

근데 이 overlap은 supervised dataset에서 overlap비율보다 낮음

그러니까 괜찮지?

또 아직 train 성능 오를 때마다 test 성능 오름

아직 train 단물 덜 빨아 먹었는데 이정도임

삭제됨
Related Work
삭제됨
Conclusion
unsupervised training은 유망하다

사전 훈련이 잘 먹힌 이유와 같음

독해에서 GPT-2의 제로샷 성능 뛰어남

근데 요약같은 다른 작업들은 아직 좀 떨어짐

언어 모델은 충분한 용량을 가질 때에 성능 발휘 시작함

Discussion & Conclusion

C
유채은님이 이 페이지 페이지를 편집했습니다.


Abstract

Introduction

Approach

Experiments

Generalization vs Memorization

Related Work

Discussion

Conclusion

supervision에서의 탈피

성능 향상에는 모델의 capacity가 중요

아직 WebText에 underfitting(미래가 밝다)

현재:

큰 모델

supervised largedata

⇒ narrow experts

현재의 문제점: data 분포 변화에 취약

우리는 generalist를 만들거임

하나의 task가 아니라, 다양한 task에 대해 training 해야함

supervised data가 아예 없거나 극소수일 때, 특정한 task들을 수행하기 위한 language model

문장들은 단어들로 구성되어 있음

각 단어가 등장할 확률이 최대화

P(output|input,task)

어떤 문제를 푸는 지(tastk)까지도 조건으로 주어져야함

unsupervised objective의 전역 최솟값과 supervised objective이 같다

단, unsupervised objective의 convergence가 문제가 되곤 한다.

Common Crawl dataset에서 휴리스틱한 부분 제외

Wiki는 문제로 많이 쓰여서 치팅이 될 수 있으니 삭제

character category가 다르면 merge하지 않게끔 하여 해결 (abc | ,.?!)

Input representation

Training Dataset

Model

layer normalization이 각 sub-block의 input 부분으로 이동

추가적인 layer normalization이 마지막 self-attention block에 적용됨

이어서 model의 깊이에 따라 residual path의 누적에 관한 initialization이 변경됨 Residual layer의
weight에 1/√N을 곱해주면서 scaling한다.

GPT1에 비해 vocabulary size가 50,257로 증가

batch는 512로 증가

context vector의 크기도 512에서 1024로 증가

Language Modeling

small dataset에서 성능 향상

long-term dependency dataset에서 성능 향상

Children's Book Test

LAMBADA

잘하네요

LM의 long-range dependency를 측정하기 위해 고안된 dataset

잘하네요

품사에 따른 LM 성능 측정 dataset

마지막 단어가 마무리가 잘 안 됨 → 불용어 필터 걸었더니 또 오름

Winograd Schema Challenge

model이 text 속에서 모호함을 얼마나 잘 해결할 수 있는지 측정하는 commonsense reasoning

겁나 잘

train dataset 내부에 test dataset이랑 겹치는 부분이 있으면 성능 평가가 신뢰성 있지 않음

일반화 성능이 과대해석됨

[image: icon] 이채호 정리


채호 이님이 이 페이지 페이지를 편집했습니다.


bloom filter

중복된 데이터 web text와 eval dataset에 있으면 성능향상이있다.

Related Work

GloVe

Discussion

GPT-2 제로샷일때는 사용하기 어렵다

채호 이님이 이 페이지 페이지를 편집했습니다.


파라미터나 아키텍쳐 수정없이 제로샷에서 성능이 많이 뽑힌좋다.

채호 이님이 이 페이지 페이지를 편집했습니다.


Generalization vs Memorization

Summarization, translation, question answering 등도 테스트함

채호 이님이 이 페이지 페이지를 편집했습니다.


Training dataset

데이터셋 최대한 넓고 다양하게 만들어야한다.

common crawl은 퀄리티 이슈있다. 그래서 큐레이팅함 (레딧에서 3 karma 이상 된것들) → WebText (45
million links)

Input representation

BPE charcter and word level language modeling

Model

트랜스포머 씀

Experiments

log-probability 로 dataset 의 퀄리티를 평가했다.

Children’s book test

Adding a stop word filter

Winograd Schema chllenge → commonsense reasoning (애매한 텍스트들)

THe conversation question asnwering dataset (CoQA)

채호 이님이 이 페이지 페이지를 편집했습니다.


파라미터나 아키텍쳐 수정없이 제로샷에서 성능이 많이 뽑힌다.

Approach

input 만 아니라 task 에도 conditioning이 돼야한다.

2 추가 업데이트

[image: icon] Language Models are Unsupervised Multitask Learners


GC K님이 이 페이지 페이지를 편집했습니다.


첨부 파일
https://prod-files-secure.s3.us-west-2.amazonaws.com/f9704662-acf5-46ed-a1ca-9ab0f17e8167/cc42318f-12c7-4685-94dd-7321de3b22bc/GPT-2.pdf

GC K님이 이 페이지 페이지를 편집했습니다.


토큰화/전처리 결함을 최대한 많이 제거하여 복원 가능한 디토크나이저를 사용

Penn Treebank, WikiText-2와 같이 학습 토큰이 1~2백만 개에 불과한 작은 데이터셋에서 큰 성능 향상이 관찰

장기 의존성 측정을 위한 LAMBADA, Children’s Book Text와 같은 데이터셋에서도 큰 성능 향상이 관찰

One Billion Word Benchmark에서 이전 연구보다 성능이 크게 떨어짐 → 데이터셋 크기가 가장 큼, 전처리 과정 때문일
가능성 높음 → 1BW의 문장 단위 셔플링이 장기 구조 제거

PTBenn Treebank 스타일 토큰화 결함 제거(문장 기호와 단어 분리)를 위해 디토크나이저 적용

CBT: 언어 모델을 다양한 단어 범주에서 평가하기 위해 만들어진 데이터셋

장기 의존성 모델링 테스트

최소 50개 토큰이 필요한 문장의 마지막 단어 예측하는 작업

퍼플렉시티를 평가 지표로 사용하는 대신, 생략된 단어에 대해 10개 선택지 중 정답을 예측하는 정확도를 보고

⇒ 언어 모델이 단어가 문장의 마지막이어야 한다는 제약을 사용하지 않음

CoQA: 7개 서로 다른 도메인의 문서와, 이 문서를 기반으로 질문자와 응답자 간의 대화로 구성

GPT-2는 지도 학습 없이도 괜찮음, ‘who’ 질문에 문서에서 이름을 선택하는 검색 기반 휴리스틱을 자주 사용하는 것으로 보임

생성된 요약은 질적으로 요약과 유사, 기사에서 최근 내용에 집중하거나 구체적인 세부 사항을 혼동하는 경우가 자주 발생

WebText 바이트 수준 언어 감지기 → 프랑스어 데이터는 10MB → 이전 비지도 학습 번역 연구에서 사용된 프랑스어 코퍼스보다
500배 작음

언어 모델의 문맥은 질문-답변 예제로 초기화 → 데이터셋의 짧은 답변 스타일을 모델이 추론하도록 돕습니다.도움

언어 모델이 포함하고 있는 정보 테스트: 사실 기반 질문 → 얼마나 자주 정답을 생성하는지 평가

테스트 데이터가 훈련 데이터에 얼마나 포함됐는지 분석하는게 중요!

이를 위해서 우리는 WebText 훈련 데이터셋 토큰의 8-그램 블룸 필터 생성

일반적인 언어 모델 데이터셋의 테스트 셋은 WebText 훈련 데이터와 1~6% 중복을 가짐 → 평균 중복률은 3.2%

많은 데이터셋은 자신들의 훈련 셋과 더 큰 중복 → 평균 중복률 5.9%

→ WebText는 특별이 중복 문제가 많은 데이터셋은 아님

n-그램 중복 기반 중복 제거를 NLP 데이터셋의 훈련-테스트 분할 생성 시 사용 권장함

이 연구: 대규모 언어 모델의 성능을 측정하는데 초점

언어 작업을 위한 사전 훈련 방법에 대한 광범위한 연구가 진행됨

최근 연구에서 대화 생성 및 질문 응답과 같은 어려운 생성에서도 언어 모델 사전 훈련이 유용하다는 것을 보여줌

우리의 결과: 비지도 작업 학습이 탐구할 만한 유망한 추가 연구 영역임을 시사

실질적인 응용 측면에서는 GPT-2의 제로샷 성능은 여전히 실용적이라고 보기 어려움

QA나 번역과 같은 본 연구에서 평가한 일반 작업에서도, 언어 모델이 충분히 클 때서야 비로소 단순한 기준을 능가하기 시작

GPT-2 제로샷이 잠재력 있으나, fine-tuning으로 달성할 수 있는 최대 성능은 명확하지 않음

GPT-2의 추가 훈련 데이터와 모델 용량이 BERT가 보여준 단방향 표현의 비효율성을 극복할 수 있을지는 미지수

GC K님이 이 페이지 페이지를 편집했습니다.


예비 실험에서 multitask learning 할 수 있었지만, 학습 속도는 더 느렸음

지도 학습의 목적 함수 == 비지도 학습 목적 함수 → 시퀀스 일부에서만 평가되므로 비지도 학습 목적 함수의 global minimun
== 지도 학습 목적 함수의 global minimum

연구진은 충분한 capacity용량을 가진 언어 모델이 작업 추론 및 수행을 학습할 것이라 추측 → 데이터 수집 방식과 무관한 예측 → 사실상
비지도 multitask learning 수행

사람에 의해 큐레이션, 필터링된 웹 페이지만 스크래핑함

→ WebText

위키피디아 문서는 다른 데이터셋에서 흔히 사용하므로 제외 → 훈련과 평가에서 데이터 중복으로 분석이 복잡해질 가능성 방지

Gillick et al. (2015): 유니코드 문자열을 UTF-8 바이트 시퀀스로 처리하면 이런 요구 사항을 충족할 수 있음 →
현재 바이트 수준 언어 모델은 One Billion Word Benchmark와 같은 대규모 데이터셋에서 단어 수준 언어 모델에 비해 안
좋음

이를 방지하기 위해 BPE가 바이트 시퀀스의 문자 카테고리를 넘어서 병합하지 못하도록 함.(기호는 병합 X) → 공백은 허용하여 단어를
여러 토큰으로 분리하는 단점 최소화하며 압축 효율을 크게 향상

이러한 입력 표현 방식: 단어 수준 언어 모델의 효율성 + 바이트 수준 접근법의 범용성

모든 유니코드 문자열에 확률 할당 가능하므로 전처리, 토큰화, 어휘 크기와 관계 없이 어떤 데이터셋에서도 언어 모델 평가 가능

Layer Norm이 각 서브 블록의 입력으로 이동: pre-activation residual network과 유사, 최종 셀프
어텐션 블록 뒤에 Layer Norm 추가

가장 큰 모델인 GPT-2는 GPT보다 한 자리수 이상 더 많은 파라미터

가장 작은 모델은 기존 GPT와 동일, 두 번째로 작은 모델은 BERT Large와 동일

제로샷 작업 전이를 위해 WebText 언어 모델이 학습된 모델링 구조에서 어떻게 제로샷 도메인으로 전이를 하는지 설명

토큰화/전처리 결함을 최대한 많이 제거하여 복원 가능한 디토크나이저를 사용

GC K님이 이 페이지 페이지를 편집했습니다.


현재 NLP에서 가장 뛰어난 성능 → pre-training + supervised fine-tuning → 더 유연한 전이 학습 형태로
발전

하지만 일반적인 시스템 → 동일한 입력에 대해 여러 작업을 수행할 수 있어야 함! → 작업에도 조건을 걸어야 함

GC K님이 이 페이지 페이지를 편집했습니다.


WebText라는 수백만 개 웹페이지로 구성된 데이터셋으로 훈련 → 지도 없이도 NLP 특정 작업 학습

언어 모델의 용량은 zero-shot 작업 전이에서 핵심임. 용량 늘리면 작업 성능이 로그-선형 방식으로 향상됨.

GPT-2: 15억개 파라미터 트랜스포머 모델 → 8개 언어 모델링 데이터셋 중 7개에서 제로샷 설정으로 SOTA. WebText에
대해 여전히 underfit

GPT-2 모델이 과거의 언어 모델보다 더 자연스럽고 논리적인 텍스트를 생성할 수 있게 됨. 질문이나 주어진 문맥에 따라 적절하고
일관된 텍스트를 만들어내는 능력이 향상됨. 이전 모델은 엉뚱한 문장을 생성하거나 문장이 서로 연결되지 않아 어색한 경우가 많았음.

연구진의 목표: 각 작업마다 훈련 데이터셋을 수동으로 만들고 라벨링할 필요가 없게 되는 것 → 일반적인 시스템

Multitask Learning은 일반적인 성능을 향상하는 프레임워크임 → NLP에서는 아직 초기 단계

→ multitask learning을 위한 추가 설정을 탐구할 동기

12 추가 업데이트

[image: icon] 안혜준 정리


혜준 안님이 이 페이지 페이지를 편집했습니다.



   - 하지만, 요약 같은 다른 작업은 아직 초보적인 성능임



   - 그렇더라도 충분한 파라미터가 보장되면 다양한 작업에서 랜덤 결과보다 높아지기 시작하는 경향을 확인



   - GPT-2의 학습 데이터와 용량은 BERT가 이야기한 단방향 표현의 비효율성을 극복하기 충분


혜준 안님이 이 페이지 페이지를 편집했습니다.



   - GPT 2는 reading comprehension에서 zero shot설정으로도 강점을 보인다.



   - 하지만,


혜준 안님이 이 페이지 페이지를 편집했습니다.



   - squad도 예시 few shot 넣어준Qeustion Answering도 예시 few shot 넣어준다 이때 4.1%의
   정답률을 보였다



   - 가장 확신하는 1%에 대해서는 63.1%의 정답률을 보여줬다.



   - 물론 Open domain Quesiton answering은 30 ~ 50%가 나오기 떄문에 이와 비교하면 성능이 많이
   낮지만, 그래도 비지도 학습만으로 이런 것도 풀수 가 있다는 걸 시사한다.


혜준 안님이 이 페이지 페이지를 편집했습니다.



   - squad도 예시 few shot 넣어준


혜준 안님이 이 페이지 페이지를 편집했습니다.


Perplexity 가 대체 뭐임>??

5 추가 업데이트

Notion
문서, 프로젝트, 위키를 위한
커넥티드 워크스페이스 Notion.so

이메일 설정 업데이트

",일어나 스터디해야지에서 유채은 님 외 3명이 업데이트했습니다,other,read only
